股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
603059,2019/04/30,1.0592
603059,2019/05/31,0.9954
603059,2019/06/28,0.8346
603059,2019/07/31,0.8596
603059,2019/08/30,0.6354
603059,2019/09/30,0.6258
603059,2019/10/31,0.9659
603059,2019/11/29,1.123
603059,2019/12/31,1.3994
603059,2020/01/23,1.5618
603059,2020/02/28,2.0421
603059,2020/03/31,1.9437
603059,2020/04/30,1.7288
603059,2020/05/29,1.9273
603059,2020/06/30,1.4832
603059,2020/07/31,2.0964
603059,2020/08/31,2.0584
603059,2020/09/30,2.2247
603059,2020/10/30,2.234
603059,2020/11/30,1.9043
603059,2020/12/31,1.6445
603059,2021/01/29,1.5503
603059,2021/02/26,1.5696
603059,2021/03/31,1.9399
603059,2021/04/30,1.9665
603059,2021/05/31,2.3834
603059,2021/06/30,2.5757
603059,2021/07/30,1.6886
603059,2021/08/31,1.4687
603059,2021/09/30,1.2009
603059,2021/10/29,1.135
603059,2021/11/30,1.6941
603059,2021/12/31,1.9937
603060,2017/11/30,1.5705
603060,2017/12/29,1.0221
603060,2018/01/31,0.8695
603060,2018/02/28,0.6511
603060,2018/03/30,0.099
603060,2018/04/27,0.1818
603060,2018/05/31,0.151
603060,2018/06/29,0.5628
603060,2018/07/31,0.9571
603060,2018/08/31,0.6046
603060,2018/09/28,0.4813
603060,2018/10/31,0.5396
603060,2018/11/30,0.6042
603060,2018/12/28,0.5554
603060,2019/01/31,1.2107
603060,2019/02/28,0.698
603060,2019/03/29,0.9295
603060,2019/04/30,0.8437
603060,2019/05/31,0.8162
603060,2019/06/28,0.6144
603060,2019/07/31,0.6638
603060,2019/08/30,0.5651
603060,2019/09/30,0.6855
603060,2019/10/31,0.4488
603060,2019/11/29,0.5704
603060,2019/12/31,0.9223
603060,2020/01/23,0.9873
603060,2020/02/28,2.0267
603060,2020/03/31,1.75
603060,2020/04/30,1.4778
603060,2020/05/29,1.8301
603060,2020/06/30,2.296
603060,2020/07/31,1.8351
603060,2020/08/31,1.85
603060,2020/09/30,2.0474
603060,2020/10/30,2.0448
603060,2020/11/30,2.0091
603060,2020/12/31,1.8478
603060,2021/01/29,1.736
603060,2021/02/26,1.6402
603060,2021/03/31,1.5281
603060,2021/04/30,1.6907
603060,2021/05/31,1.8102
603060,2021/06/30,1.6059
603060,2021/07/30,0.688
603060,2021/08/31,1.2325
603060,2021/09/30,0.6037
603060,2021/10/29,0.6913
603060,2021/11/30,0.6848
603060,2021/12/31,0.8099
603063,2018/07/31,0.9939
603063,2018/08/31,0.9947
603063,2018/09/28,1.0948
603063,2018/10/31,1.0102
603063,2018/11/30,1.0624
603063,2018/12/28,1.0049
603063,2019/01/31,1.3708
603063,2019/02/28,2.5165
603063,2019/03/29,2.9187
603063,2019/04/30,2.88
603063,2019/05/31,2.5417
603063,2019/06/28,2.5163
603063,2019/07/31,2.6148
603063,2019/08/30,2.3648
603063,2019/09/30,2.4958
603063,2019/10/31,2.6604
603063,2019/11/29,2.7392
603063,2019/12/31,2.8437
603063,2020/01/23,2.8254
603063,2020/02/28,1.9188
603063,2020/03/31,1.2402
603063,2020/04/30,1.1231
603063,2020/05/29,1.7757
603063,2020/06/30,1.2749
603063,2020/07/31,1.3282
603063,2020/08/31,1.3301
603063,2020/09/30,0.8135
603063,2020/10/30,0.8129
603063,2020/11/30,1.195
