,yearmonth,trdsum,monfulturnr,monret,monrfret,pe,eps,roe,incomeps,beta
82,200711,1019014436,19.2920,-0.0807,0.003545,49.80,0.12,5.5861,7.76,1.4873
83,200712,1362541893,23.7830,0.2724,0.003643,63.36,0.12,5.5861,7.76,1.5064
84,200801,2550381492,40.2199,-0.1596,0.003731,43.02,0.12,5.5861,7.76,1.4164
85,200802,1158382449,19.3523,0.1116,0.003753,47.82,0.12,5.5861,7.76,1.4009
86,200803,815746396,14.9062,-0.2086,0.003751,37.85,0.12,5.5861,7.76,1.3490
87,200804,599846482,14.5730,-0.0304,0.003745,36.37,0.04,1.6493,2.28,1.3418
88,200805,819199145,19.4408,-0.1544,0.003743,30.76,0.04,1.6493,2.28,1.3693
89,200806,328727740,11.0047,-0.3042,0.003732,20.91,0.04,1.6493,2.28,1.3908
90,200807,534561280,18.1980,0.1031,0.003682,21.40,0.04,1.6493,2.28,1.3805
91,200808,229109100,9.6917,-0.1605,0.003604,17.96,0.10,4.5665,4.66,1.3676
92,200809,286358822,13.2218,-0.1660,0.003591,14.98,0.10,4.5665,4.66,1.3825
93,200810,113144242,7.0076,-0.2317,0.003522,12.20,0.15,6.6470,7.33,1.3342
94,200811,268287221,16.0475,0.0852,0.003063,13.25,0.15,6.6470,7.33,1.3293
95,200812,619648059,31.3302,0.0423,0.001908,13.81,0.15,6.6470,7.33,1.3244
96,200901,216588250,11.1681,0.1304,0.001256,23.45,0.15,6.6470,7.33,1.3592
97,200902,1700190475,62.2075,0.3538,0.001088,31.75,0.15,6.6470,7.33,1.3755
98,200903,1108096293,39.9644,0.0947,0.001041,34.76,0.15,6.6470,7.33,1.3496
99,200904,1228597841,40.7574,-0.0069,0.001013,36.63,0.03,1.2657,1.65,1.3658
100,200905,951466340,30.2232,0.0889,0.001010,39.89,0.03,1.2657,1.65,1.3376
101,200906,1567998785,45.2748,0.0704,0.001043,42.05,0.03,1.2657,1.65,1.3087
102,200907,1533368728,42.7514,0.1229,0.001227,51.39,0.03,1.2657,1.65,1.2922
103,200908,1227081781,34.6628,-0.2203,0.001435,40.07,0.08,3.4147,3.23,1.2728
104,200909,1176133121,34.6429,0.0381,0.001459,41.60,0.08,3.4147,3.23,1.2753
105,200910,585688633,17.4946,0.0835,0.001481,36.50,0.14,6.0354,5.36,1.2708
106,200911,4334386303,95.6914,0.4345,0.001499,52.36,0.14,6.0354,5.36,1.3323
107,200912,2442231233,52.1416,0.0354,0.001516,54.22,0.14,6.0354,5.36,1.5116
108,201001,2683670109,50.3067,0.1826,0.001553,54.29,0.14,6.0354,5.36,1.4482
109,201002,1086246227,19.6212,-0.0158,0.001604,53.43,0.14,6.0354,5.36,1.4347
110,201003,1420220870,24.7733,-0.0285,0.001619,51.90,0.21,9.0214,8.41,1.4472
111,201004,2385371050,39.4749,0.0138,0.001616,49.82,0.04,1.7025,1.94,1.1893
112,201005,1036898426,20.6984,-0.1647,0.001646,41.61,0.04,1.7025,1.94,1.2241
113,201006,505786717,11.1697,-0.1571,0.002004,34.54,0.04,1.7025,1.94,1.1926
114,201007,574664509,13.8022,0.1436,0.002134,36.21,0.04,1.7025,1.94,1.0814
115,201008,1175161229,25.1811,0.0662,0.002055,38.61,0.11,2.4141,4.00,1.0555
116,201009,1480762817,30.7012,-0.0525,0.002130,36.59,0.11,2.4141,4.00,1.0307
117,201010,1084693197,23.2580,0.0475,0.002246,41.42,0.18,3.8269,6.58,1.0741
118,201011,2820752693,56.6743,-0.0065,0.002446,41.15,0.18,3.8269,6.58,1.0931
119,201012,591419348,12.8380,-0.0619,0.003230,38.61,0.18,3.8269,6.58,1.0567
120,201101,308954399,7.5183,-0.0694,0.003930,19.60,0.18,3.8269,6.58,1.0591
121,201102,396983023,9.3525,0.0958,0.004320,21.48,0.18,3.8269,6.58,1.0650
122,201103,905657033,19.7491,0.0045,0.003581,21.57,0.41,7.1640,9.38,1.0635
123,201104,1389828580,27.8390,0.0339,0.003592,22.13,0.04,0.8140,2.08,1.0833
124,201105,811453976,17.2673,-0.0765,0.003795,20.44,0.04,0.8140,2.08,1.0687
125,201106,289287463,6.8575,0.0189,0.004514,20.82,0.04,0.8140,2.08,0.9936
126,201107,712801211,15.9113,0.0360,0.005108,17.99,0.04,0.8140,2.08,0.9880
127,201108,913666872,19.9316,0.0123,0.004642,18.21,0.20,3.6443,6.00,0.9566
128,201109,333055117,7.8602,-0.1639,0.004687,15.22,0.20,3.6443,6.00,0.9648
129,201110,232123149,5.7842,0.0848,0.004700,16.01,0.37,6.6051,10.92,0.9529
130,201111,452765292,10.5664,0.0037,0.004731,16.07,0.37,6.6051,10.92,0.9481
131,201112,196579738,5.0186,-0.1326,0.004565,13.94,0.37,6.6051,10.92,0.9876
132,201201,138514888,4.0743,-0.0491,0.004565,15.60,0.37,6.6051,10.92,0.9637
133,201202,367618955,10.0199,0.1150,0.004446,17.39,0.37,6.6051,10.92,0.9186
134,201203,1267621742,30.0564,0.0648,0.004208,18.52,0.43,7.4064,14.27,0.9061
135,201204,6515670562,118.7110,0.6112,0.004006,29.63,0.05,0.7912,2.26,1.0668
136,201205,8622967430,150.3265,-0.1912,0.003739,23.97,0.05,0.7912,2.26,1.0798
137,201206,2446988688,48.7760,-0.1173,0.003415,20.88,0.05,0.7912,2.26,1.1778
138,201207,3334995387,70.1923,-0.0317,0.003225,12.09,0.05,0.7912,2.26,1.2667
139,201208,2592791837,53.3343,0.0384,0.003031,12.55,0.49,7.5530,4.63,1.3112
140,201209,1767543571,37.7910,-0.0805,0.003047,11.54,0.49,7.5530,4.63,1.3007
141,201210,1003530634,23.2859,-0.0083,0.003083,23.32,0.59,8.8313,8.89,1.3381
142,201211,1188387422,29.5650,-0.1611,0.003140,19.56,0.59,8.8313,8.89,1.1313
143,201212,1893751672,47.0693,0.2162,0.003220,23.79,0.59,8.8313,8.89,1.1814
144,201301,2290353438,50.6595,0.0690,0.003246,11.55,0.59,8.8313,8.89,1.3725
145,201302,1619389536,32.8279,0.0908,0.003240,12.60,0.59,8.8313,8.89,1.3802
146,201303,3826323768,67.9964,0.1896,0.003236,14.99,0.79,10.9733,15.70,1.2914
147,201304,3487359013,58.5020,0.0076,0.003235,11.71,0.28,3.4598,3.19,1.3435
148,201305,5177297826,80.5499,0.1849,0.003235,13.87,0.28,3.4598,3.19,1.3434
