,date,close,dret,yearmonth
1705,2008-01-09,12.97,0.0078,200801
1706,2008-01-10,12.83,-0.0108,200801
1707,2008-01-11,12.56,-0.0210,200801
1708,2008-01-14,12.69,0.0104,200801
1709,2008-01-15,13.05,0.0284,200801
1710,2008-01-16,13.08,0.0023,200801
1711,2008-01-17,13.65,0.0436,200801
1712,2008-01-18,13.39,-0.0190,200801
1713,2008-01-21,12.15,-0.0926,200801
1714,2008-01-22,10.94,-0.0996,200801
1715,2008-01-23,11.13,0.0174,200801
1716,2008-01-24,11.38,0.0225,200801
1717,2008-01-25,11.60,0.0193,200801
1718,2008-01-28,10.44,-0.1000,200801
1719,2008-01-29,11.48,0.0996,200801
1720,2008-01-30,10.99,-0.0427,200801
1721,2008-01-31,10.48,-0.0464,200801
1722,2008-02-01,9.88,-0.0573,200802
1723,2008-02-04,10.76,0.0891,200802
1724,2008-02-05,10.66,-0.0093,200802
1725,2008-02-13,10.52,-0.0131,200802
1726,2008-02-14,11.10,0.0551,200802
1727,2008-02-15,11.01,-0.0081,200802
1728,2008-02-18,11.21,0.0182,200802
1729,2008-02-19,11.76,0.0491,200802
1730,2008-02-20,11.83,0.0060,200802
1731,2008-02-21,12.81,0.0828,200802
1732,2008-02-22,11.96,-0.0664,200802
1733,2008-02-25,11.08,-0.0736,200802
1734,2008-02-26,11.49,0.0370,200802
1735,2008-02-27,11.59,0.0087,200802
1736,2008-02-28,11.32,-0.0233,200802
1737,2008-02-29,11.65,0.0292,200802
1738,2008-03-03,11.99,0.0292,200803
1739,2008-03-04,11.87,-0.0100,200803
1740,2008-03-05,12.31,0.0371,200803
1741,2008-03-06,12.22,-0.0073,200803
1742,2008-03-07,11.85,-0.0303,200803
1743,2008-03-10,11.27,-0.0489,200803
1744,2008-03-11,11.52,0.0222,200803
1745,2008-03-12,11.11,-0.0356,200803
1746,2008-03-13,10.39,-0.0648,200803
1747,2008-03-14,10.45,0.0058,200803
1748,2008-03-17,9.46,-0.0947,200803
1749,2008-03-18,9.17,-0.0307,200803
1750,2008-03-19,9.62,0.0491,200803
1751,2008-03-20,9.95,0.0343,200803
1752,2008-03-21,9.92,-0.0030,200803
1753,2008-03-24,9.94,0.0020,200803
1754,2008-03-25,10.00,0.0060,200803
1755,2008-03-26,10.15,0.0150,200803
1756,2008-03-27,9.68,-0.0463,200803
1757,2008-03-28,10.04,0.0372,200803
1758,2008-03-31,9.22,-0.0817,200803
1759,2008-04-01,8.30,-0.0998,200804
1760,2008-04-02,7.52,-0.0940,200804
1761,2008-04-03,7.61,0.0120,200804
1762,2008-04-07,7.99,0.0499,200804
1763,2008-04-08,8.14,0.0188,200804
1764,2008-04-09,7.39,-0.0921,200804
1765,2008-04-10,7.64,0.0338,200804
1766,2008-04-11,7.83,0.0249,200804
1767,2008-04-14,7.16,-0.0856,200804
1768,2008-04-15,7.60,0.0615,200804
1769,2008-04-16,7.79,0.0250,200804
1770,2008-04-17,7.78,-0.0013,200804
1771,2008-04-18,7.63,-0.0193,200804
1772,2008-04-21,7.81,0.0236,200804
1773,2008-04-22,7.42,-0.0499,200804
1774,2008-04-23,7.77,0.0472,200804
1775,2008-04-24,8.55,0.1004,200804
1776,2008-04-25,8.56,0.0012,200804
1777,2008-04-28,8.62,0.0070,200804
1778,2008-04-29,8.93,0.0360,200804
1779,2008-04-30,8.94,0.0011,200804
1781,2008-05-06,8.76,-0.0201,200805
1782,2008-05-07,8.05,-0.0811,200805
1783,2008-05-08,8.26,0.0261,200805
1784,2008-05-09,8.26,0.0000,200805
1785,2008-05-12,8.72,0.0557,200805
