运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒2 rad/s2),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒2 m/s2),门内时间 (秒 s),速率 (米/秒 m/s),w^2 (单位)
5.45,2.304,2.859,2.513,0.055,0.068,0.06,,,-8.17
5.475,2.377,2.859,-1.257,0.0567,0.068,-0.03,,,-8.17
5.5,2.447,2.796,-3.77,0.0584,0.067,-0.09,,,-7.82
5.525,2.516,2.67,-6.283,0.0601,0.064,-0.15,,,-7.13
5.55,2.581,2.482,-8.796,0.0616,0.059,-0.21,,,-6.16
5.575,2.641,2.231,-10.681,0.063,0.053,-0.255,,,-4.98
5.6,2.692,1.948,-11.938,0.0643,0.047,-0.285,,,-3.79
5.625,2.738,1.634,-13.195,0.0654,0.039,-0.315,,,-2.67
5.65,2.774,1.288,-13.823,0.0662,0.031,-0.33,,,-1.66
5.675,2.802,0.942,-15.08,0.0669,0.023,-0.36,,,-0.89
5.7,2.821,0.534,-15.708,0.0673,0.013,-0.375,,,-0.29
5.725,2.829,0.157,-15.08,0.0675,0.004,-0.36,,,-0.02
5.75,2.829,-0.22,-15.08,0.0675,-0.005,-0.36,,,-0.05
5.775,2.818,-0.597,-14.451,0.0673,-0.014,-0.345,,,-0.36
5.8,2.799,-0.942,-13.195,0.0668,-0.023,-0.315,,,-0.89
5.825,2.771,-1.257,-11.938,0.0661,-0.03,-0.285,,,-1.58
5.85,2.736,-1.539,-10.681,0.0653,-0.037,-0.255,,,-2.37
5.875,2.694,-1.791,-9.425,0.0643,-0.043,-0.225,,,-3.21
5.9,2.647,-2.011,-8.168,0.0632,-0.048,-0.195,,,-4.04
5.925,2.593,-2.199,-5.655,0.0619,-0.053,-0.135,,,-4.84
5.95,2.537,-2.293,-3.142,0.0606,-0.055,-0.075,,,-5.26
5.975,2.479,-2.356,-0.628,0.0592,-0.056,-0.015,,,-5.55
6,2.419,-2.325,1.885,0.0577,-0.056,0.045,,,-5.4
6.025,2.362,-2.262,3.142,0.0564,-0.054,0.075,,,-5.12
6.05,2.306,-2.168,6.283,0.055,-0.052,0.15,,,-4.7
6.075,2.254,-1.948,9.425,0.0538,-0.047,0.225,,,-3.79
6.1,2.209,-1.696,10.053,0.0527,-0.041,0.24,,,-2.88
6.125,2.169,-1.445,11.31,0.0518,-0.035,0.27,,,-2.09
6.15,2.136,-1.131,13.823,0.051,-0.027,0.33,,,-1.28
6.175,2.113,-0.754,15.08,0.0504,-0.018,0.36,,,-0.57
6.2,2.099,-0.377,15.08,0.0501,-0.009,0.36,,,-0.14
6.225,2.094,0,15.08,0.05,0,0.36,,,0
6.25,2.099,0.377,14.451,0.0501,0.009,0.345,,,-0.14
6.275,2.113,0.723,13.195,0.0504,0.017,0.315,,,-0.52
6.3,2.135,1.037,11.938,0.051,0.025,0.285,,,-1.07
6.325,2.165,1.319,10.053,0.0517,0.032,0.24,,,-1.74
6.35,2.201,1.539,7.54,0.0525,0.037,0.18,,,-2.37
6.375,2.242,1.696,5.655,0.0535,0.041,0.135,,,-2.88
6.4,2.286,1.822,4.398,0.0546,0.044,0.105,,,-3.32
6.425,2.333,1.916,2.513,0.0557,0.046,0.06,,,-3.67
6.45,2.381,1.948,-6.84E-13,0.0568,0.047,-1.62E-14,,,-3.79
6.475,2.43,1.916,-2.513,0.058,0.046,-0.06,,,-3.67
6.5,2.477,1.822,-4.398,0.0591,0.044,-0.105,,,-3.32
6.525,2.521,1.696,-6.283,0.0602,0.041,-0.15,,,-2.88
6.55,2.562,1.508,-7.54,0.0612,0.036,-0.18,,,-2.27
6.575,2.597,1.319,-8.168,0.062,0.031,-0.195,,,-1.74
6.6,2.628,1.1,-10.053,0.0627,0.026,-0.24,,,-1.21
6.625,2.652,0.817,-10.681,0.0633,0.019,-0.255,,,-0.67
6.65,2.669,0.565,-10.053,0.0637,0.013,-0.24,,,-0.32
6.675,2.68,0.314,-10.053,0.064,0.008,-0.24,,,-0.1
6.7,2.684,0.063,-10.053,0.0641,0.002,-0.24,,,0
6.725,2.683,-0.188,-10.681,0.064,-0.004,-0.255,,,-0.04
6.75,2.675,-0.471,-10.681,0.0639,-0.011,-0.255,,,-0.22
6.775,2.659,-0.723,-8.796,0.0635,-0.017,-0.21,,,-0.52
6.8,2.639,-0.911,-7.54,0.063,-0.022,-0.18,,,-0.83
6.825,2.614,-1.1,-6.912,0.0624,-0.026,-0.165,,,-1.21
6.85,2.584,-1.257,-6.283,0.0617,-0.03,-0.15,,,-1.58
6.875,2.551,-1.414,-5.027,0.0609,-0.034,-0.12,,,-2
6.9,2.513,-1.508,-2.513,0.06,-0.036,-0.06,,,-2.27
6.925,2.476,-1.539,-1.257,0.0591,-0.037,-0.03,,,-2.37
6.95,2.436,-1.571,0,0.0582,-0.038,0,,,-2.47
6.975,2.397,-1.539,2.513,0.0572,-0.037,0.06,,,-2.37
7,2.359,-1.445,3.77,0.0563,-0.035,0.09,,,-2.09
7.025,2.325,-1.351,3.77,0.0555,-0.032,0.09,,,-1.82
7.05,2.292,-1.257,5.655,0.0547,-0.03,0.135,,,-1.58
7.075,2.262,-1.068,8.168,0.054,-0.026,0.195,,,-1.14
7.1,2.238,-0.848,8.796,0.0534,-0.02,0.21,,,-0.72
7.125,2.22,-0.628,9.425,0.053,-0.015,0.225,,,-0.39
7.15,2.207,-0.377,10.053,0.0527,-0.009,0.24,,,-0.14
7.175,2.201,-0.126,10.053,0.0525,-0.003,0.24,,,-0.02
7.2,2.201,0.126,9.425,0.0525,0.003,0.225,,,-0.02
7.225,2.207,0.346,8.168,0.0527,0.008,0.195,,,-0.12
7.25,2.218,0.534,8.168,0.0529,0.013,0.195,,,-0.29
7.275,2.234,0.754,7.54,0.0533,0.018,0.18,,,-0.57
7.3,2.256,0.911,5.027,0.0538,0.022,0.12,,,-0.83
7.325,2.279,1.005,4.398,0.0544,0.024,0.105,,,-1.01
7.35,2.306,1.131,4.398,0.055,0.027,0.105,,,-1.28
7.375,2.336,1.225,2.513,0.0558,0.029,0.06,,,-1.5
7.4,2.367,1.257,0.628,0.0565,0.03,0.015,,,-1.58
7.425,2.399,1.257,-0.628,0.0573,0.03,-0.015,,,-1.58
7.45,2.43,1.225,-1.885,0.058,0.029,-0.045,,,-1.5
7.475,2.46,1.162,-3.142,0.0587,0.028,-0.075,,,-1.35
7.5,2.488,1.068,-4.398,0.0594,0.026,-0.105,,,-1.14
7.525,2.513,0.942,-5.655,0.06,0.022,-0.135,,,-0.89
7.55,2.535,0.785,-6.283,0.0605,0.019,-0.15,,,-0.62
7.575,2.553,0.628,-6.283,0.0609,0.015,-0.15,,,-0.39
7.6,2.567,0.471,-6.912,0.0613,0.011,-0.165,,,-0.22
7.625,2.576,0.283,-7.54,0.0615,0.007,-0.18,,,-0.08
7.65,2.581,0.094,-6.912,0.0616,0.002,-0.165,,,-0.01
7.675,2.581,-0.063,-6.912,0.0616,-0.001,-0.165,,,0
7.7,2.578,-0.251,-7.54,0.0615,-0.006,-0.18,,,-0.06
7.725,2.568,-0.44,-6.283,0.0613,-0.011,-0.15,,,-0.19
7.75,2.556,-0.565,-4.398,0.061,-0.014,-0.105,,,-0.32
7.775,2.54,-0.66,-4.398,0.0606,-0.016,-0.105,,,-0.44
7.8,2.523,-0.785,-4.398,0.0602,-0.019,-0.105,,,-0.62
7.825,2.501,-0.88,-2.513,0.0597,-0.021,-0.06,,,-0.77
7.85,2.479,-0.911,-1.885,0.0592,-0.022,-0.045,,,-0.83
7.875,2.455,-0.974,-1.257,0.0586,-0.023,-0.03,,,-0.95
7.9,2.43,-0.974,0,0.058,-0.023,0,,,-0.95
7.925,2.406,-0.974,0.628,0.0574,-0.023,0.015,,,-0.95
7.95,2.381,-0.942,1.885,0.0568,-0.023,0.045,,,-0.89
7.975,2.359,-0.88,3.142,0.0563,-0.021,0.075,,,-0.77
8,2.337,-0.785,4.398,0.0558,-0.019,0.105,,,-0.62
8.025,2.32,-0.66,5.027,0.0554,-0.016,0.12,,,-0.44
8.05,2.304,-0.534,5.655,0.055,-0.013,0.135,,,-0.29
8.075,2.293,-0.377,5.655,0.0547,-0.009,0.135,,,-0.14
8.1,2.286,-0.251,5.655,0.0546,-0.006,0.135,,,-0.06
8.125,2.281,-0.094,6.283,0.0544,-0.002,0.15,,,-0.01
8.15,2.281,0.063,6.283,0.0544,0.001,0.15,,,0
8.175,2.284,0.22,5.655,0.0545,0.005,0.135,,,-0.05
8.2,2.292,0.346,4.398,0.0547,0.008,0.105,,,-0.12
8.225,2.301,0.44,4.398,0.0549,0.011,0.105,,,-0.19
8.25,2.314,0.565,4.398,0.0552,0.013,0.105,,,-0.32
8.275,2.329,0.66,2.513,0.0556,0.016,0.06,,,-0.44
8.3,2.347,0.691,1.885,0.056,0.016,0.045,,,-0.48
8.325,2.364,0.754,1.885,0.0564,0.018,0.045,,,-0.57
8.35,2.384,0.785,-5.37E-13,0.0569,0.019,-1.56E-14,,,-0.62
8.375,2.403,0.754,-1.257,0.0574,0.018,-0.03,,,-0.57
8.4,2.422,0.723,-1.257,0.0578,0.017,-0.03,,,-0.52
8.425,2.439,0.691,-1.885,0.0582,0.016,-0.045,,,-0.48
8.45,2.457,0.628,-3.142,0.0586,0.015,-0.075,,,-0.39
8.475,2.471,0.534,-3.142,0.059,0.013,-0.075,,,-0.29
8.5,2.483,0.471,-3.142,0.0593,0.011,-0.075,,,-0.22
8.525,2.494,0.377,-4.398,0.0595,0.009,-0.105,,,-0.14
8.55,2.502,0.251,-5.027,0.0597,0.006,-0.12,,,-0.06
8.575,2.507,0.126,-4.398,0.0598,0.003,-0.105,,,-0.02
8.6,2.509,0.031,-3.77,0.0599,7.50E-04,-0.09,,,-9.87E-04
8.625,2.509,-0.063,-4.398,0.0599,-0.001,-0.105,,,0
8.65,2.505,-0.188,-5.027,0.0598,-0.004,-0.12,,,-0.04
8.675,2.499,-0.314,-3.77,0.0597,-0.007,-0.09,,,-0.1
8.7,2.49,-0.377,-1.885,0.0594,-0.009,-0.045,,,-0.14
8.725,2.48,-0.408,-2.513,0.0592,-0.01,-0.06,,,-0.17
8.75,2.469,-0.503,-2.513,0.0589,-0.012,-0.06,,,-0.25
8.775,2.455,-0.534,-0.628,0.0586,-0.013,-0.015,,,-0.29
8.8,2.443,-0.534,-0.628,0.0583,-0.013,-0.015,,,-0.29
8.825,2.428,-0.565,-0.628,0.058,-0.014,-0.015,,,-0.32
8.85,2.414,-0.565,0.628,0.0576,-0.014,0.015,,,-0.32
