date,mkt,ten_return
2011/07/14 0:00,0.007333,-0.0791
2011/07/15 0:00,0.007435,-0.0079
2011/07/18 0:00,-0.000364,-0.1286
2011/07/19 0:00,-0.013264,-0.4743
2011/07/20 0:00,0.001736,-0.5383
2011/07/21 0:00,-0.011563,-0.2371
2011/07/22 0:00,0.004336,0.4332
2011/07/25 0:00,-0.038465,-0.0679
2011/07/26 0:00,0.004735,-0.001
2011/07/27 0:00,0.016935,-0.3447
2011/07/28 0:00,-0.001564,0.0792
2011/07/29 0:00,-0.009064,0.4558
2011/08/01 0:00,0.004336,-0.0339
2011/08/02 0:00,-0.003662,-0.1107
2011/08/03 0:00,0.004139,-0.5153
2011/08/04 0:00,0.00214,0.249
2011/08/05 0:00,-0.019859,0.4596
2011/08/08 0:00,-0.045557,0.3309
2011/08/09 0:00,-0.001456,0.3249
2011/08/10 0:00,0.014045,-0.1951
2011/08/11 0:00,0.018147,0.3721
2011/08/12 0:00,0.010249,-0.0267
2011/08/15 0:00,0.01445,0.0811
2011/08/16 0:00,-0.00745,-0.0207
2011/08/18 0:00,-0.018649,-0.1651
2011/08/19 0:00,-0.008249,0.1971
2011/08/22 0:00,-0.008649,0.0247
2011/08/23 0:00,0.018151,0.0168
2011/08/24 0:00,0.000452,-0.0425
2011/08/25 0:00,0.019552,-0.2461
2011/08/26 0:00,0.002953,-0.0436
2011/08/29 0:00,-0.00945,-0.8167
2011/08/30 0:00,-0.010151,-0.2698
2011/08/31 0:00,-0.004852,0.0782
2011/09/01 0:00,-0.006153,0.2293
2011/09/05 0:00,-0.025354,0.1475
2011/09/06 0:00,-0.011454,0.3075
2011/09/07 0:00,0.024445,-0.2441
2011/09/08 0:00,-0.010155,-0.0885
2011/09/09 0:00,-0.006255,0.1314
2011/09/13 0:00,-0.016054,0.2804
2011/09/14 0:00,0.010046,-0.0188
2011/09/15 0:00,0.002246,-0.3064
2011/09/16 0:00,0.000046,-0.0189
2011/09/19 0:00,-0.021354,-0.1154
2011/09/20 0:00,0.004046,0.0169
2011/09/21 0:00,0.029245,-0.0627
2011/09/22 0:00,-0.029354,0.3328
2011/09/23 0:00,-0.009654,0.8224
2011/09/26 0:00,-0.016854,0.6846
2011/09/27 0:00,0.003846,-0.4559
2011/09/28 0:00,-0.015554,0.002
2011/09/29 0:00,-0.026055,0.3057
2011/09/30 0:00,-0.001955,0.3361
2011/10/10 0:00,-0.006955,0.7686
2011/10/11 0:00,-0.005955,0.4642
2011/10/12 0:00,0.035946,-0.7245
2011/10/13 0:00,0.012446,-0.0107
2011/10/14 0:00,-0.004254,0.4004
2011/10/17 0:00,0.005045,-0.1316
2011/10/18 0:00,-0.030554,0.4381
2011/10/19 0:00,-0.006754,-0.0135
2011/10/20 0:00,-0.030054,0.0019
2011/10/21 0:00,-0.016854,-0.111
2011/10/24 0:00,0.018846,-0.1556
2011/10/25 0:00,0.027046,-0.3687
2011/10/26 0:00,0.009746,0.1389
2011/10/27 0:00,0.000345,0.0068
2011/10/28 0:00,0.022345,0.1193
2011/10/31 0:00,0.004744,-0.0765
2011/11/01 0:00,0.000542,0.5613
2011/11/02 0:00,0.018144,0.0482
2011/11/03 0:00,0.004144,0.0289
2011/11/04 0:00,0.006244,0.0356
2011/11/07 0:00,-0.006057,-0.0751
2011/11/08 0:00,-0.010356,0.2409
2011/11/09 0:00,0.015944,0.498
2011/11/10 0:00,-0.012056,0.5548
2011/11/11 0:00,-0.001955,-0.2055
2011/11/14 0:00,0.025745,0.0753
2011/11/15 0:00,0.003645,-0.5182
2011/11/16 0:00,-0.026955,0.0488
2011/11/17 0:00,0.001145,0.0775
2011/11/18 0:00,-0.028255,0.0077
2011/11/21 0:00,-0.000255,-0.0182
2011/11/22 0:00,-0.000555,0.1062
2011/11/23 0:00,-0.004255,0.3134
2011/11/24 0:00,-0.000355,-0.0771
2011/11/25 0:00,-0.007555,-0.0124
2011/11/28 0:00,0.000745,-0.1649
2011/11/29 0:00,0.014845,0.0296
2011/11/30 0:00,-0.041755,0.1556
2011/12/01 0:00,0.020846,0.8749
2011/12/02 0:00,-0.019952,0.1096
2011/12/05 0:00,-0.030952,0.3029
