_Stkcd,month,月收益率_Monret
2,2009/05/27,0.1486
2,2009/06/30,0.3142
2,2009/07/31,0.0478
2,2009/08/31,-0.2964
2,2009/09/30,0.1085
2,2009/10/30,0.1046
2,2009/11/30,0.0017
2,2009/12/31,-0.0624
2,2010/01/29,-0.136
2,2010/02/26,0.0096
2,2010/03/31,0.0074
2,2010/04/30,-0.1789
2,2010/05/31,-0.0667
2,2010/06/30,-0.0596
2,2010/07/30,0.2227
2,2010/08/31,0.0157
2,2010/09/30,-0.0024
2,2010/10/29,0.1548
2,2010/11/30,-0.1619
2,2010/12/31,0.0111
2,2011/01/31,-0.0024
2,2011/02/28,-0.0049
2,2011/03/30,0.065
2,2011/04/29,-0.0242
2,2011/05/31,-0.0637
2,2011/06/30,0.0778
2,2011/07/29,-0.0355
2,2011/08/31,0
2,2011/09/30,-0.1117
2,2011/10/31,0.105
2,2011/11/30,-0.1175
2,2011/12/30,0.0581
2,2012/01/31,0.0241
2,2012/02/29,0.0824
2,2012/03/30,0
2,2012/04/27,0.0845
2,2012/05/31,0.0301
2,2012/06/29,-0.0368
2,2012/07/31,0.0505
2,2012/08/31,-0.1311
2,2012/09/28,0.0511
2,2012/10/31,-0.013
2,2012/11/30,0.0517
2,2012/12/25,0.1566
2,2013/01/31,0.1868
2,2013/02/28,-0.0008
2,2013/03/29,-0.1033
2,2013/04/26,0.0251
2,2013/05/31,0.1024
2,2013/06/28,-0.1778
2,2013/07/31,-0.0335
2,2013/08/30,-0.0063
2,2013/09/30,-0.0349
2,2013/10/31,0.0088
2,2013/11/29,-0.0489
2,2013/12/31,-0.0833
2,2014/01/30,-0.0809
2,2014/02/28,-0.0894
2,2014/03/31,0.2039
2,2014/04/30,-0.0235
2,2014/05/30,0.1342
2,2014/06/30,-0.0327
2,2014/07/31,0.1971
2,2014/08/29,-0.0788
2,2014/09/30,0.0066
2,2014/10/31,0.024
2,2014/11/28,0.1596
2,2014/12/31,0.2752
2,2015/01/30,-0.0561
2,2015/02/27,-0.0282
2,2015/03/31,0.0839
2,2015/04/30,0.0564
2,2015/05/29,-0.0171
2,2015/06/30,0.0118
2,2015/07/31,0.011
2,2015/08/31,-0.0268
2,2015/09/30,-0.0775
2,2015/10/30,0.0738
2,2015/11/30,0.1024
2,2015/12/18,0.6211
2,2016/01/29,
2,2016/02/29,
2,2016/03/31,
2,2016/04/29,
2,2016/05/31,
2,2016/06/30,
2,2016/07/29,-0.2689
2,2016/08/31,0.4545
2,2016/09/30,0.0497
2,2016/10/31,-0.0478
2,2016/11/30,0.0827
2,2016/12/30,-0.2383
