

     Angle,       PSD,
   15.3073,       507,
   15.3173,       504,
   15.3273,       443,
   15.3373,       469,
   15.3472,       507,
   15.3572,       502,
   15.3672,       483,
   15.3772,       516,
   15.3872,       471,
   15.3971,       469,
   15.4071,       500,
   15.4171,       512,
   15.4271,       504,
    15.437,       562,
    15.447,       546,
    15.457,       582,
    15.467,       593,
   15.4769,       621,
   15.4869,       579,
   15.4969,       553,
   15.5069,       570,
   15.5168,       591,
   15.5268,       516,
   15.5368,       529,
   15.5468,       507,
   15.5567,       512,
   15.5667,       507,
   15.5767,       494,
   15.5867,       515,
   15.5967,       489,
   15.6066,       489,
   15.6166,       489,
   15.6266,       487,
   15.6366,       479,
   15.6465,       510,
   15.6565,       512,
   15.6665,       530,
   15.6765,       500,
   15.6864,       463,
   15.6964,       524,
   15.7064,       493,
   15.7164,       495,
   15.7263,       498,
   15.7363,       479,
   15.7463,       474,
   15.7563,       455,
   15.7662,       496,
   15.7762,       456,
   15.7862,       458,
   15.7962,       492,
   15.8062,       483,
   15.8161,       526,
   15.8261,       458,
   15.8361,       491,
   15.8461,       529,
    15.856,       513,
    15.866,       517,
    15.876,       541,
    15.886,       492,
   15.8959,       459,
   15.9059,       527,
   15.9159,       496,
   15.9259,       481,
   15.9358,       478,
   15.9458,       487,
   15.9558,       524,
   15.9658,       510,
   15.9757,       520,
   15.9857,       518,
   15.9957,       497,
   16.0057,       478,
   16.0157,       539,
   16.0256,       525,
   16.0356,       532,
   16.0456,       507,
   16.0556,       480,
   16.0655,       504,
   16.0755,       482,
   16.0855,       492,
   16.0955,       442,
   16.1054,       459,
   16.1154,       477,
   16.1254,       493,
   16.1354,       484,
   16.1453,       505,
   16.1553,       469,
   16.1653,       544,
   16.1753,       485,
   16.1853,       517,
   16.1952,       486,
   16.2052,       473,
   16.2152,       493,
   16.2252,       461,
   16.2351,       501,
   16.2451,       506,
   16.2551,       526,
   16.2651,       487,
    16.275,       533,
    16.285,       522,
    16.295,       468,
    16.305,       492,
   16.3149,       463,
   16.3249,       502,
   16.3349,       530,
   16.3449,       512,
   16.3548,       494,
   16.3648,       537,
   16.3748,       459,
   16.3848,       512,
   16.3948,       498,
   16.4047,       525,
   16.4147,       532,
   16.4247,       473,
   16.4347,       528,
   16.4446,       513,
   16.4546,       483,
   16.4646,       532,
   16.4746,       472,
   16.4845,       483,
   16.4945,       514,
   16.5045,       510,
   16.5145,       516,
   16.5244,       473,
   16.5344,       470,
   16.5444,       485,
   16.5544,       514,
   16.5643,       477,
   16.5743,       529,
   16.5843,       509,
   16.5943,       526,
   16.6043,       521,
   16.6142,       525,
   16.6242,       547,
   16.6342,       553,
   16.6442,       507,
   16.6541,       499,
   16.6641,       497,
   16.6741,       533,
   16.6841,       505,
    16.694,       543,
    16.704,       505,
    16.714,       503,
    16.724,       503,
   16.7339,       524,
   16.7439,       500,
   16.7539,       477,
   16.7639,       490,
   16.7738,       509,
   16.7838,       519,
   16.7938,       523,
   16.8038,       492,
   16.8138,       550,
   16.8237,       499,
   16.8337,       501,
   16.8437,       539,
   16.8537,       523,
   16.8636,       628,
   16.8736,       643,
   16.8836,       606,
   16.8936,       548,
   16.9035,       622,
   16.9135,       617,
   16.9235,       638,
   16.9335,       679,
   16.9434,       610,
   16.9534,       611,
   16.9634,       543,
   16.9734,       563,
   16.9833,       558,
   16.9933,       531,
   17.0033,       507,
   17.0133,       525,
   17.0233,       485,
   17.0332,       524,
   17.0432,       512,
   17.0532,       528,
   17.0632,       498,
   17.0731,       493,
   17.0831,       481,
   17.0931,       481,
   17.1031,       554,
    17.113,       522,
    17.123,       509,
    17.133,       533,
    17.143,       517,
   17.1529,       478,
   17.1629,       469,
   17.1729,       505,
   17.1829,       516,
   17.1928,       511,
   17.2028,       534,
   17.2128,       504,
   17.2228,       475,
   17.2328,       497,
   17.2427,       493,
   17.2527,       523,
   17.2627,       521,
   17.2727,       481,
   17.2826,       498,
   17.2926,       503,
   17.3026,       521,
   17.3126,       510,
   17.3225,       512,
   17.3325,       469,
   17.3425,       507,
   17.3525,       511,
   17.3624,       528,
   17.3724,       476,
   17.3824,       501,
   17.3924,       531,
   17.4023,       489,
   17.4123,       529,
   17.4223,       462,
   17.4323,       515,
   17.4423,       488,
   17.4522,       504,
   17.4622,       506,
   17.4722,       523,
   17.4822,       516,
   17.4921,       524,
   17.5021,       487,
   17.5121,       477,
   17.5221,       536,
    17.532,       486,
    17.542,       500,
    17.552,       491,
    17.562,       486,
   17.5719,       476,
   17.5819,       532,
   17.5919,       526,
   17.6019,       553,
   17.6118,       471,
   17.6218,       525,
   17.6318,       495,
   17.6418,       499,
   17.6518,       518,
   17.6617,       512,
   17.6717,       519,
   17.6817,       517,
   17.6917,       469,
   17.7016,       504,
   17.7116,       522,
   17.7216,       515,
   17.7316,       540,
   17.7415,       516,
   17.7515,       488,
   17.7615,       522,
   17.7715,       466,
   17.7814,       491,
   17.7914,       511,
   17.8014,       541,
   17.8114,       465,
   17.8213,       501,
   17.8313,       553,
   17.8413,       540,
   17.8513,       630,
   17.8613,       582,
   17.8712,       585,
   17.8812,       596,
   17.8912,       584,
   17.9012,       588,
   17.9111,       669,
   17.9211,       590,
   17.9311,       626,
   17.9411,       566,
    17.951,       591,
    17.961,       582,
    17.971,       521,
    17.981,       538,
   17.9909,       571,
   18.0009,       514,
   18.0109,       510,
   18.0209,       512,
   18.0308,       498,
   18.0408,       503,
   18.0508,       516,
   18.0608,       552,
   18.0708,       520,
   18.0807,       536,
   18.0907,       523,
   18.1007,       520,
   18.1107,       526,
   18.1206,       532,
   18.1306,       534,
   18.1406,       584,
   18.1506,       518,
   18.1605,       531,
   18.1705,       508,
   18.1805,       503,
   18.1905,       516,
   18.2004,       501,
   18.2104,       560,
   18.2204,       522,
   18.2304,       548,
   18.2403,       498,
   18.2503,       546,
   18.2603,       534,
   18.2703,       524,
   18.2803,       557,
   18.2902,       523,
   18.3002,       515,
   18.3102,       538,
   18.3202,       521,
   18.3301,       484,
   18.3401,       515,
   18.3501,       487,
   18.3601,       510,
     18.37,       551,
     18.38,       518,
     18.39,       480,
      18.4,       554,
   18.4099,       485,
   18.4199,       556,
   18.4299,       460,
   18.4399,       540,
   18.4498,       500,
   18.4598,       504,
   18.4698,       529,
   18.4798,       516,
   18.4898,       506,
   18.4997,       528,
   18.5097,       512,
   18.5197,       523,
   18.5297,       530,
   18.5396,       524,
   18.5496,       541,
   18.5596,       524,
   18.5696,       521,
   18.5795,       483,
   18.5895,       512,
   18.5995,       506,
   18.6095,       543,
   18.6194,       559,
   18.6294,       547,
   18.6394,       523,
   18.6494,       496,
   18.6594,       515,
   18.6693,       553,
   18.6793,       539,
   18.6893,       528,
   18.6993,       537,
   18.7092,       549,
   18.7192,       498,
   18.7292,       513,
   18.7392,       468,
   18.7491,       507,
   18.7591,       534,
   18.7691,       527,
   18.7791,       518,
    18.789,       491,
    18.799,       567,
    18.809,       528,
    18.819,       502,
   18.8289,       538,
   18.8389,       509,
   18.8489,       528,
   18.8589,       545,
   18.8689,       494,
   18.8788,       503,
   18.8888,       523,
   18.8988,       496,
   18.9088,       527,
   18.9187,       540,
   18.9287,       544,
   18.9387,       501,
   18.9487,       517,
   18.9586,       510,
   18.9686,       516,
   18.9786,       553,
   18.9886,       508,
   18.9985,       499,
   19.0085,       540,
   19.0185,       526,
   19.0285,       500,
   19.0384,       567,
   19.0484,       512,
