,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
323,195312,0.001713,0.001333,0.000380,-2.839683,-2.290964,0.086157,-0.004917,-0.001825,0.0130,0.0039,0.343643,-2.449685,1,1,1,-2.844586,-2.283650,0.099363,-0.005858,-0.000667,0.0148,0.0025,-0.342466,-2.391110,0.0,0.0,1.0
324,195401,0.053486,0.000983,0.052503,-2.885016,-2.335589,0.103263,-0.002908,-0.000225,0.0131,0.0015,0.684932,-0.738745,1,1,1,-2.839683,-2.290964,0.086157,-0.004917,-0.001825,0.0130,0.0039,0.343643,-2.449685,1.0,1.0,1.0
325,195402,0.012916,0.000808,0.012108,-2.883135,-2.332997,0.105208,-0.006458,-0.001358,0.0161,0.0016,-0.340136,0.297697,1,1,1,-2.885016,-2.335589,0.103263,-0.002908,-0.000225,0.0131,0.0015,0.684932,-0.738745,1.0,1.0,1.0
326,195403,0.030530,0.000858,0.029672,-2.908350,-2.357519,0.108190,-0.007725,-0.001325,0.0181,0.0008,0.000000,-0.593092,1,1,1,-2.883135,-2.332997,0.105208,-0.006458,-0.001358,0.0161,0.0016,-0.340136,0.297697,1.0,1.0,1.0
327,195404,0.048358,0.000808,0.047550,-2.960733,-2.396247,0.116529,-0.006308,-0.001575,0.0170,0.0012,0.341297,-0.597169,1,1,1,-2.908350,-2.357519,0.108190,-0.007725,-0.001325,0.0181,0.0008,0.000000,-0.593092,1.0,1.0,1.0
328,195405,0.042777,0.000633,0.042144,-2.997673,-2.419596,0.129328,-0.005892,-0.000683,0.0182,0.0009,0.000000,0.600757,1,1,1,-2.960733,-2.396247,0.116529,-0.006308,-0.001575,0.0170,0.0012,0.341297,-0.597169,1.0,1.0,1.0
329,195406,0.002467,0.000533,0.001934,-3.002948,-2.411337,0.125059,-0.006825,-0.001142,0.0196,0.0018,-0.680272,0.298585,1,1,1,-2.997673,-2.419596,0.129328,-0.005892,-0.000683,0.0182,0.0009,0.000000,0.600757,1.0,1.0,1.0
330,195407,0.058701,0.000600,0.058101,-3.053956,-2.465664,0.136777,-0.006800,-0.001450,0.0202,0.0023,0.342466,0.148311,1,1,1,-3.002948,-2.411337,0.125059,-0.006825,-0.001142,0.0196,0.0018,-0.680272,0.298585,1.0,1.0,1.0
331,195408,-0.025894,0.000767,-0.026661,-3.014800,-2.429798,0.128019,-0.004900,-0.000867,0.0197,0.0018,0.000000,-0.148627,1,1,1,-3.053956,-2.465664,0.136777,-0.006800,-0.001450,0.0202,0.0023,0.342466,0.148311,1.0,1.0,1.0
332,195409,0.082500,0.000842,0.081658,-3.090114,-2.508393,0.157076,-0.001967,-0.000558,0.0179,0.0018,-0.341297,0.148849,1,1,1,-3.014800,-2.429798,0.128019,-0.004900,-0.000867,0.0197,0.0018,0.000000,-0.148627,1.0,1.0,1.0
